Exchange Date,Bid,Ask,High,Low,Open,Refresh Rate,BidNet
11-Mar-2019,"5,439.0327","5,441.7963","5,561.1711","5,405.2445","5,505.6572",106348,-41.9744
08-Mar-2019,"5,481.0071","5,485.0816","5,594.8645","5,479.0519","5,515.8165",124858,-34.8094
07-Mar-2019,"5,515.8165","5,521.7168","5,526.2625","5,429.9560","5,466.4866",126319,+49.3299
06-Mar-2019,"5,466.4866","5,469.6104","5,541.8102","5,389.6615","5,407.9029",129687,+58.5837
05-Mar-2019,"5,407.9029","5,413.6120","5,475.3006","5,189.6221","5,215.9594",124550,+192.6907
04-Mar-2019,"5,215.2122","5,216.7090","5,372.2497","5,179.9577","5,349.4143",129027,-186.5944
01-Mar-2019,"5,401.8066","5,406.2147","5,431.4734","5,338.6056","5,353.6857",131966,+48.8754
28-Feb-2019,"5,352.9312","5,354.4545","5,472.8744","5,231.5230","5,250.5742",143733,+103.0922
27-Feb-2019,"5,249.8390","5,252.6544","5,340.2962","5,124.2331","5,272.5755",126066,-19.8036
26-Feb-2019,"5,269.6426","5,273.3231","5,347.6803","5,253.0949","5,309.0402",119010,-37.9167
25-Feb-2019,"5,307.5593","5,312.5611","5,380.5408","5,205.1816","5,273.6790",149876,-220.1062
22-Feb-2019,"5,527.6655","5,529.6759","5,550.5681","5,458.0323","5,492.4616",143361,+31.3316
21-Feb-2019,"5,496.3339","5,498.1805","5,626.0894","5,425.3191","5,458.4089",149175,+37.9389
20-Feb-2019,"5,458.3950","5,462.2225","5,540.4552","5,391.6364","5,425.3627",142321,+32.3766
19-Feb-2019,"5,426.0184","5,431.5371","5,585.3127","5,368.3583","5,400.9815",140375,+25.0369
18-Feb-2019,"5,400.9815","5,403.9271","5,490.3239","4,985.7563","4,998.5732",135603,+418.0468
15-Feb-2019,"4,982.9347","4,989.0957","5,084.9838","4,976.8324","5,021.3984",123765,-38.4637
14-Feb-2019,"5,021.3984","5,025.8201","5,065.8623","4,968.3551","5,036.5303",132002,-14.4217
13-Feb-2019,"5,035.8201","5,039.4893","5,089.3143","4,977.8511","5,043.4231",128714,-5.4708
12-Feb-2019,"5,041.2909","5,043.7333","5,098.6616","5,016.4577","5,083.5952",131094,-43.0239
11-Feb-2019,"5,084.3148","5,088.6811","5,157.9244","5,047.5761","5,082.8894",122518,+15.8989
08-Feb-2019,"5,068.4159","5,071.8216","5,232.1252","4,719.9916","4,727.1921",135103,+340.5584
07-Feb-2019,"4,727.8575","4,731.6383","4,760.4474","4,716.3170","4,736.4814",113928,-8.6239
06-Feb-2019,"4,736.4814","4,738.0543","4,757.9812","4,630.5759","4,727.7402",129609,+9.3946
05-Feb-2019,"4,727.0868","4,730.0664","4,743.4656","4,695.5672","4,728.3105",113188,-0.5695
04-Feb-2019,"4,727.6563","4,730.2879","4,757.2061","4,668.7948","4,713.1034",96849,-27.4058
01-Feb-2019,"4,755.0621","4,758.3195","4,768.2658","4,644.7786","4,695.5458",132870,+61.4521
31-Jan-2019,"4,693.6100","4,697.2371","4,793.3361","4,668.4059","4,733.9357",133788,-40.9789
30-Jan-2019,"4,734.5889","4,739.2354","4,810.9040","4,696.1988","4,752.2918",136992,-16.3751
29-Jan-2019,"4,750.9640","4,755.9206","4,811.7804","4,638.6345","4,765.6808",131310,-15.3818
28-Jan-2019,"4,766.3458","4,770.5094","4,955.7260","4,666.8057","4,938.8039",140150,-187.4693
25-Jan-2019,"4,953.8151","4,957.1727","5,052.2310","4,927.0526","5,028.3099",133783,-77.3292
24-Jan-2019,"5,031.1443","5,033.1407","5,075.4304","4,932.9609","4,956.9149",130697,+73.5355
23-Jan-2019,"4,957.6088","4,964.8929","5,074.0949","4,926.3055","5,015.5649",127665,-58.6602
22-Jan-2019,"5,016.2690","5,020.7245","5,070.1262","4,792.9423","4,916.3921",126829,+97.8167
21-Jan-2019,"4,918.4523","4,920.3129","4,998.2935","4,892.3657","4,907.4916",135936,-119.1401
18-Jan-2019,"5,037.5924","5,039.4586","5,078.5367","4,978.3968","5,037.0170",128419,+1.9754
17-Jan-2019,"5,035.6170","5,042.6505","5,096.7602","4,934.3615","5,025.2022",138187,+10.4148
16-Jan-2019,"5,025.2022","5,030.2819","5,111.4457","4,948.9938","4,954.6515",131614,+70.5507
15-Jan-2019,"4,954.6515","4,955.5478","5,110.6324","4,916.7083","5,087.7727",138951,-133.1212
14-Jan-2019,"5,087.7727","5,091.3690","5,154.4242","4,829.8212","4,879.0540",134817,+35.3469
11-Jan-2019,"5,052.4258","5,059.2485","5,126.2377","4,972.5798","5,051.6142",156079,+0.8116
10-Jan-2019,"5,051.6142","5,052.6514","5,636.8097","4,883.1573","5,576.2549",158710,-524.6407
09-Jan-2019,"5,576.2549","5,589.5397","5,647.5021","5,519.2060","5,593.7701",161640,-16.7322
08-Jan-2019,"5,592.9871","5,609.0629","5,766.4889","5,522.8215","5,601.3986",142977,-9.1950
07-Jan-2019,"5,602.1821","5,604.3655","5,730.3371","5,559.4477","5,698.2596",142159,+217.3796
04-Jan-2019,"5,384.8025","5,389.8327","5,476.2922","5,267.0749","5,410.7321",167767,-26.7019
03-Jan-2019,"5,411.5044","5,415.1342","5,726.3647","5,358.7917","5,562.3103",168597,-150.8059
02-Jan-2019,"5,562.3103","5,568.4278","5,583.8058","5,251.1486","5,270.1730",151081,+292.1373
01-Jan-2019,"5,270.1730","5,271.6818","5,304.6627","5,135.2143","5,208.3924",28411,+61.7806
31-Dec-2018,"5,208.3924","5,215.1511","5,471.4773","5,153.5187","5,405.9915",134500,-313.5065
28-Dec-2018,"5,521.8989","5,529.3850","5,633.5464","5,066.4871","5,091.2333",174007,+430.6656
27-Dec-2018,"5,091.2333","5,100.6541","5,434.5642","5,078.0561","5,339.2079",173163,-247.9746
26-Dec-2018,"5,339.2079","5,349.8372","5,483.2504","5,210.9287","5,381.0742",142920,-41.7242
25-Dec-2018,"5,380.9321","5,384.8089","5,765.1903","5,207.8384","5,750.1486",91123,-369.2165
24-Dec-2018,"5,750.1486","5,763.1713","6,001.3883","5,548.9277","5,624.0301",166498,+282.9986
21-Dec-2018,"5,467.1500","5,475.9209","5,846.4868","5,352.0727","5,613.2434",159398,-148.4618
20-Dec-2018,"5,615.6118","5,623.5054","5,871.0386","5,142.4196","5,151.9055",177087,+462.2569
19-Dec-2018,"5,153.3549","5,166.5119","5,462.8985","4,900.5012","4,919.8552",166120,+235.5539
18-Dec-2018,"4,917.8010","4,927.5905","4,973.0346","4,768.2317","4,861.6681",160001,+56.1329
17-Dec-2018,"4,861.6681","4,863.5097","4,994.7207","4,429.5863","4,448.8032",141697,+466.4751
14-Dec-2018,"4,395.1930","4,400.9615","4,575.4675","4,367.0613","4,503.2512",153558,-108.0582
13-Dec-2018,"4,503.2512","4,509.4935","4,767.3082","4,460.2823","4,763.6351",156024,-259.1796
12-Dec-2018,"4,762.4308","4,766.1587","4,823.3333","4,601.1345","4,677.1226",162902,+84.6592
11-Dec-2018,"4,677.7716","4,686.2318","4,761.3141","4,568.6832","4,723.0641",160445,-46.6061
