YYYYMM,USD,EUR,GBP,NZD,SGD,CAD,Cash Rate Target
201403,0.9162565217391304,0.6996913043478261,0.6032826086956522,0.8607130434782608,1.1611521739130435,0.9529869565217391,2.5
201404,0.9030636363636364,0.6779363636363637,0.5823636363636363,0.8756681818181818,1.1486727272727273,0.9394818181818182,2.5
201405,0.9288666666666666,0.6950666666666666,0.5850809523809524,0.8765428571428571,1.1722857142857142,0.9617190476190477,2.5
201406,0.9514217391304348,0.6975173913043478,0.5912086956521739,0.8764260869565218,1.1825173913043479,0.9861608695652173,2.5
201407,0.9315095238095237,0.6900761904761905,0.5780571428571429,0.8860238095238095,1.1620571428571427,0.9768476190476191,2.5
201408,0.8974954545454547,0.6549090909090909,0.5477636363636363,0.9159909090909092,1.1298636363636363,0.9543636363636363,2.5
201409,0.885395652173913,0.6499086956521739,0.5374347826086957,0.9332521739130435,1.1265347826086956,0.9677478260869564,2.5
201410,0.8971450000000001,0.656245,0.541535,0.9241400000000001,1.135295,0.9915749999999999,2.5
201411,0.9081142857142857,0.6567714285714286,0.5464619047619047,0.9389952380952382,1.1507190476190476,1.0086761904761905,2.5
201412,0.931640909090909,0.6744909090909091,0.5561681818181818,0.9234863636363637,1.1687863636363636,1.023840909090909,2.5
201502,0.9301545454545455,0.6772363636363636,0.5522545454545454,0.9243136363636364,1.1639181818181819,1.0127863636363637,2.25
201503,0.9368857142857142,0.6888047619047619,0.5537714285714286,0.9200428571428573,1.1715666666666666,1.0141571428571428,2.25
201504,0.9387,0.6933173913043479,0.5496782608695652,0.9253478260869565,1.1664826086956521,1.0076652173913043,2.25
201505,0.9305904761904762,0.6988904761904762,0.5572523809523809,0.9055238095238096,1.1616333333333333,1.0166285714285714,2.0
201506,0.9046545454545455,0.7014,0.5547409090909091,0.8992454545454546,1.142718181818182,0.9957,2.0
201507,0.8776260869565218,0.6919608695652174,0.5458565217391305,0.8965043478260869,1.1186652173913043,0.9840913043478261,2.0
201508,0.8636800000000001,0.6922699999999999,0.5475049999999999,0.905935,1.11937,0.9784649999999999,2.0
201509,0.8231999999999999,0.6688304347826087,0.5266217391304348,0.9419478260869565,1.0834043478260869,0.9499347826086957,2.0
201510,0.8063136363636364,0.6933727272727273,0.5318363636363637,0.9453772727272728,1.0779045454545455,0.9753409090909091,2.0
201511,0.7792600000000001,0.686285,0.5081249999999999,0.9559749999999999,1.05578,0.974035,2.0
201512,0.7726409090909091,0.7135363636363636,0.5161545454545454,0.9655363636363637,1.0634954545454545,0.9742045454545455,2.0
201602,0.7731545454545454,0.7145954545454546,0.5166909090909091,0.9808045454545454,1.042059090909091,0.95355,2.0
