,Exchange Date,Bid
538,16-Apr-2020,"11,146.9352"
539,15-Apr-2020,"10,673.1171"
540,14-Apr-2020,"10,661.6853"
541,13-Apr-2020,"10,690.0861"
542,10-Apr-2020,"10,892.8504"
543,09-Apr-2020,"11,508.8300"
544,08-Apr-2020,"11,740.3883"
545,07-Apr-2020,"11,527.0945"
546,06-Apr-2020,"11,866.8693"
547,03-Apr-2020,"11,167.6672"
548,02-Apr-2020,"11,121.0526"
549,01-Apr-2020,"10,451.8116"
550,31-Mar-2020,"10,549.2912"
551,30-Mar-2020,"10,489.9222"
552,27-Mar-2020,"10,830.6794"
553,26-Mar-2020,"11,113.2377"
554,25-Mar-2020,"11,066.4933"
555,24-Mar-2020,"11,330.6595"
556,23-Mar-2020,"10,989.5008"
557,20-Mar-2020,"10,281.4310"
558,19-Mar-2020,"10,887.5675"
559,18-Mar-2020,"9,240.1524"
560,17-Mar-2020,"9,104.7484"
561,16-Mar-2020,"8,005.8179"
562,13-Mar-2020,"8,778.4028"
563,12-Mar-2020,"9,150.2565"
564,11-Mar-2020,"12,112.1955"
565,10-Mar-2020,"12,292.5926"
566,09-Mar-2020,"11,920.6740"
567,06-Mar-2020,"13,723.8840"
568,05-Mar-2020,"13,771.7201"
569,04-Mar-2020,"13,166.6566"
570,03-Mar-2020,"13,258.0650"
571,02-Mar-2020,"13,669.4848"
572,28-Feb-2020,"13,303.7014"
573,27-Feb-2020,"13,319.5282"
574,26-Feb-2020,"13,354.5607"
575,25-Feb-2020,"14,194.0064"
576,24-Feb-2020,"14,525.4920"
577,21-Feb-2020,"14,589.9080"
578,20-Feb-2020,"14,515.1428"
579,19-Feb-2020,"14,408.7614"
580,18-Feb-2020,"15,179.2794"
581,17-Feb-2020,"14,358.6448"
582,14-Feb-2020,"15,392.5115"
583,13-Feb-2020,"15,139.1071"
584,12-Feb-2020,"15,414.1267"
585,11-Feb-2020,"15,244.0357"
586,10-Feb-2020,"14,747.1661"
587,07-Feb-2020,"14,600.6144"
588,06-Feb-2020,"14,458.7877"
589,05-Feb-2020,"14,356.8994"
